question,answer
what is the website address of sofia university?,https://www.uni-sofia.bg/eng
when was his holiness the bulgarian patriarch neophyte presented before the lord?,"march 13, 2024"
who received the order of honor of the rector of sofia university?,prof. liu xiumin
what was the reason prof. liu xiumin received the award?,significant contribution to the development of the confucius institute at sofia university
what type of conference was held at sofia university?,open and free geographic information systems (gis) conference
when is the application period for competitive exams for the 2024/2025 academic year (first session)?,"march 5 to april 1, 2024"
"what are the upcoming events at sofia university on march 14, 2024?","workshop of adria arei, public lecture by assoc. dr. sebastian fink, training seminar and lecture by ch. assistant professor dr. svetoslav anachkov, ""patilan people"" after ""patilan kingdom"", ran bosilek"
when is the chess tournament for students and doctoral students?,"march 17, 2024, 10:00"
does sofia university have a library?,yes
does sofia university have a publishing house?,yes
does sofia university have an astronomical observatory?,yes
does sofia university have an alumni club?,yes
does sofia university have an audio-video archive?,yes
what is the website address of sofia university?,https://www.uni-sofia.bg/eng
what is the focus of the finex project?,stimulating and connecting best practices and spaces in the green and digital transition.
what are some of the key organizations involved in the finex project?,"eit digital, eit climate kic, and the cleantech group."
what is the objective of the project investigating the relationship between seismicity and glacier activity in the south shetland islands?,to investigate the connection between earthquake activity and glacier behavior in the region.
when did the project studying the structure of rocks on livingstone island begin?,"january 15, 2024"
what is the purpose of analyzing the structure of sedimentary and igneous rocks on livingstone island?,to understand the deformational history of these rock formations and contribute to deciphering the geodynamic evolution of the south shetland islands.
what time period are the comprehensive stratigraphic and paleoclimatic studies focusing on?,the cretaceous period.
why is studying the fossil record from the cretaceous period important for understanding future climate changes?,"to gain new knowledge about past climate changes and sea levels, which can provide insights into future predictions."
what is the goal of the project researching microflora in the south bay of livingston island?,to comprehensively analyze the microflora and identify potential applications for these organisms in various fields.
what potential applications might the microflora from the south bay hold?,applications in biotechnology and industry.
does sofia university offer resources or information on other research areas besides those mentioned?,"yes, the website mentions other research areas but doesn't provide specific details."
"what is the national portal euraxess, bulgaria?",information not available from the provided snippet.
what is the seventh framework programme 'people' and what activities does it cover?,information not available from the provided snippet.
are there other sections of the sofia university website that provide more details about ongoing research projects?,"likely yes, further exploration of the website is recommended."
does the university website offer information about research opportunities for students and faculty?,"information not available from the provided snippet, further exploration recommended."
what is the official name of the university?,Sofia University St. Kliment Ohridski
what are the main sections of the sofia university website?,"The website includes sections on: The University, Faculties, Admission, Education, Students, Lecturers, News, Electronic Services."
does sofia university offer funding for scientific research projects?,yes
when was the latest competition for scientific research projects announced?,"february 1, 2024 (order no. rd-19-58/01.02.2024)"
what is the deadline for submitting project proposals?,"february 29, 2024, by 11:59 pm"
how are project proposals submitted?,proposals must be submitted electronically through the address: http://eservices.uni-sofia.bg/projects
what types of scientific projects are eligible for funding?,"thematic projects, projects supporting doctoral students, partial funding for scientific forums, support for specialized publications"
how are submitted project proposals evaluated?,proposals are evaluated by the management board of the fni at su based on expert cards specific to each project type.
does the website offer resources for applicants applying for research funding?,"yes, the website provides downloadable documents including regulations, ordinances, handbooks, and forms."
who can be contacted for technical issues with submitting proposals?,kristina ferdinandova or milyana aleksieva
does the website provide information about the university's history?,"yes, the website has a dedicated section on the university's history."
does sofia university have museums and archives?,"yes, the website mentions museums and a university archive."
does the website offer resources for students?,"yes, the website provides a dedicated section for students."
does the website offer resources for faculty?,"yes, the website provides a dedicated section for faculty."
does the website offer an online calendar?,"yes, the website has a section with a calendar."
does the website offer information about study procedures?,"yes, the website has a section with information on study procedures."
does the website offer online payment options?,"yes, the website offers online payment options."
does Sofia University have an audio-video archive?,yes
when is the application period for competitive exams for the 2024/2025 academic year (first session)?,"march 5 to april 1, 2024"
"what type of conference was held at sofia university on march 14, 2024?",open and free geographic information systems (gis) conference
What is the name of Sofia University's digital repository?,DSpace
What type of content can be found in DSpace?,"Research publications, dissertations, faculty work, and other scholarly materials"
Can users create accounts on DSpace?,"Yes, authorized users can edit profiles and receive email updates"
How can users access information about using DSpace?,The website offers a Help section and information about the DSpace software
Does DSpace offer resources specifically for researchers?,"Yes, there is a section titled 'Scientific Research Department'"
What are some of the communities available in DSpace?,"Center for Korean Studies, Department for Language Teaching and International Students, Faculty of Biology, etc."
Does DSpace connect users to external scholarly resources?,"Yes, it provides links to platforms like BioMed Central, SpringerOpen, and DataCite"
Can users find information about open access publishing on DSpace?,"Yes, there is a section on 'Free Use of Works for Educational Purposes and the Role of Creative Commons'"
Does DSpace offer information about copyright and licensing?,"Yes, there is a section on 'License Your Work'"
Can users subscribe to receive updates from DSpace?,"Yes, authorized users can sign up for email updates"
When was the DSpace software developed?,Between 2002 and 2010
Does Sofia University have an audio-video archive?,"While the information provided doesn't explicitly mention an audio-video archive, further exploration of the university website might reveal its existence."
Can users search for publications by author on DSpace?,"Yes, users can enter the author's name in the search bar."
Can users browse collections by subject on DSpace?,"While subject browsing isn't explicitly mentioned, some communities might categorize content by subject."
